Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m42.5865600000s,009d13m32.8471380000s,162.295,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5865600000s,009d13m32.8471380000s,160.279,2.016,5036132.299,517647.031,160.279,FIXED,27,36,1.140,0.014,0.017,1.0,2023-11-13,11:30:31,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.712,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m42.5866860000s,009d13m32.8466220000s,162.291,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5866860000s,009d13m32.8466220000s,160.275,2.016,5036132.302,517647.020,160.275,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:32,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.724,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m42.5866560000s,009d13m32.8463640000s,162.281,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5866560000s,009d13m32.8463640000s,160.265,2.016,5036132.301,517647.015,160.265,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:33,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.730,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m42.5869440000s,009d13m32.8485060000s,162.279,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5869440000s,009d13m32.8485060000s,160.263,2.016,5036132.310,517647.061,160.263,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:34,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.685,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m42.5908860000s,009d13m32.8527600000s,162.283,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5908860000s,009d13m32.8527600000s,160.267,2.016,5036132.432,517647.153,160.267,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:35,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.599,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m42.5956380000s,009d13m32.8638120000s,162.273,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5956380000s,009d13m32.8638120000s,160.257,2.016,5036132.580,517647.393,160.257,FIXED,26,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:36,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.370,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m42.6031800000s,009d13m32.8794000000s,162.285,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6031800000s,009d13m32.8794000000s,160.269,2.016,5036132.813,517647.730,160.269,FIXED,26,36,1.290,0.014,0.017,0.0,2023-11-13,11:30:37,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.045,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m42.6107460000s,009d13m32.8965180000s,162.276,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6107460000s,009d13m32.8965180000s,160.260,2.016,5036133.048,517648.101,160.260,FIXED,25,36,1.130,0.014,0.017,0.0,2023-11-13,11:30:38,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.690,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m42.6183780000s,009d13m32.9153220000s,162.261,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6183780000s,009d13m32.9153220000s,160.245,2.016,5036133.285,517648.509,160.245,FIXED,26,36,1.290,0.014,0.017,0.0,2023-11-13,11:30:39,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.300,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m42.6277200000s,009d13m32.9353740000s,162.266,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6277200000s,009d13m32.9353740000s,160.250,2.016,5036133.574,517648.943,160.250,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:40,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.884,0,0.00000000,270.00000000,0.000,0.000,0.000
11,,045d28m42.6369960000s,009d13m32.9495880000s,162.260,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6369960000s,009d13m32.9495880000s,160.244,2.016,5036133.861,517649.251,160.244,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:41,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.596,0,0.00000000,270.00000000,0.000,0.000,0.000
12,,045d28m42.6450360000s,009d13m32.9669100000s,162.293,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6450360000s,009d13m32.9669100000s,160.277,2.016,5036134.110,517649.627,160.277,FIXED,26,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:42,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.233,0,0.00000000,270.00000000,0.000,0.000,0.000
13,,045d28m42.6526980000s,009d13m32.9872020000s,162.291,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6526980000s,009d13m32.9872020000s,160.275,2.016,5036134.348,517650.066,160.275,FIXED,26,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:43,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.811,0,0.00000000,270.00000000,0.000,0.000,0.000
14,,045d28m42.6622020000s,009d13m33.0079380000s,162.267,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6622020000s,009d13m33.0079380000s,160.251,2.016,5036134.643,517650.516,160.251,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:44,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.385,0,0.00000000,270.00000000,0.000,0.000,0.000
15,,045d28m42.6714720000s,009d13m33.0294780000s,162.295,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6714720000s,009d13m33.0294780000s,160.279,2.016,5036134.930,517650.983,160.279,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:45,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.936,0,0.00000000,270.00000000,0.000,0.000,0.000
16,,045d28m42.6797100000s,009d13m33.0527340000s,162.280,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6797100000s,009d13m33.0527340000s,160.264,2.016,5036135.186,517651.487,160.264,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:46,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.454,0,0.00000000,270.00000000,0.000,0.000,0.000
17,,045d28m42.6904860000s,009d13m33.0716280000s,162.320,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6904860000s,009d13m33.0716280000s,160.304,2.016,5036135.519,517651.896,160.304,FIXED,27,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:47,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.064,0,0.00000000,270.00000000,0.000,0.000,0.000
18,,045d28m42.7001220000s,009d13m33.0919440000s,162.334,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7001220000s,009d13m33.0919440000s,160.318,2.016,5036135.818,517652.336,160.318,FIXED,28,36,1.140,0.014,0.017,0.0,2023-11-13,11:30:48,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.645,0,0.00000000,270.00000000,0.000,0.000,0.000
19,,045d28m42.7089120000s,009d13m33.1133760000s,162.318,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7089120000s,009d13m33.1133760000s,160.302,2.016,5036136.091,517652.801,160.302,FIXED,29,36,1.130,0.014,0.017,0.0,2023-11-13,11:30:49,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.203,0,0.00000000,270.00000000,0.000,0.000,0.000
20,,045d28m42.7180680000s,009d13m33.1354920000s,162.322,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7180680000s,009d13m33.1354920000s,160.306,2.016,5036136.374,517653.280,160.306,FIXED,29,36,1.130,0.014,0.017,0.0,2023-11-13,11:30:50,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.746,0,0.00000000,270.00000000,0.000,0.000,0.000
21,,045d28m42.7281480000s,009d13m33.1566480000s,162.311,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7281480000s,009d13m33.1566480000s,160.295,2.016,5036136.687,517653.739,160.295,FIXED,29,36,1.130,0.014,0.017,0.0,2023-11-13,11:30:51,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.314,0,0.00000000,270.00000000,0.000,0.000,0.000
22,,045d28m42.7364700000s,009d13m33.1783380000s,162.317,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7364700000s,009d13m33.1783380000s,160.301,2.016,5036136.945,517654.209,160.301,FIXED,29,36,1.130,0.014,0.017,0.0,2023-11-13,11:30:52,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.865,0,0.00000000,270.00000000,0.000,0.000,0.000
23,,045d28m42.7444860000s,009d13m33.1991160000s,162.315,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7444860000s,009d13m33.1991160000s,160.299,2.016,5036137.194,517654.659,160.299,FIXED,29,35,1.130,0.014,0.017,0.0,2023-11-13,11:30:53,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.436,0,0.00000000,270.00000000,0.000,0.000,0.000
