Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m39.7083720000s,009d13m32.8565520000s,161.954,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7083720000s,009d13m32.8565520000s,159.938,2.016,5036043.478,517647.485,159.938,FIXED,25,35,1.380,0.015,0.017,1.0,2023-11-13,11:14:36,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.341,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m39.7069200000s,009d13m32.8561500000s,161.953,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7069200000s,009d13m32.8561500000s,159.937,2.016,5036043.433,517647.477,159.937,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:14:37,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.362,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m39.7066620000s,009d13m32.8570980000s,161.958,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7066620000s,009d13m32.8570980000s,159.942,2.016,5036043.425,517647.497,159.942,FIXED,26,35,1.380,0.014,0.017,0.0,2023-11-13,11:14:38,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.344,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m39.7068660000s,009d13m32.8568940000s,161.959,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7068660000s,009d13m32.8568940000s,159.943,2.016,5036043.431,517647.493,159.943,FIXED,26,35,1.380,0.014,0.017,0.0,2023-11-13,11:14:39,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.346,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m39.7074360000s,009d13m32.8571520000s,161.959,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7074360000s,009d13m32.8571520000s,159.943,2.016,5036043.449,517647.498,159.943,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:40,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.336,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m39.7086540000s,009d13m32.8568340000s,161.959,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7086540000s,009d13m32.8568340000s,159.943,2.016,5036043.486,517647.491,159.943,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:41,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.332,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m39.7079340000s,009d13m32.8575840000s,161.970,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7079340000s,009d13m32.8575840000s,159.954,2.016,5036043.464,517647.508,159.954,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:42,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.322,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m39.7074060000s,009d13m32.8585740000s,161.965,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7074060000s,009d13m32.8585740000s,159.949,2.016,5036043.448,517647.529,159.949,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:43,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.306,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m39.7073040000s,009d13m32.8590780000s,161.965,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7073040000s,009d13m32.8590780000s,159.949,2.016,5036043.445,517647.540,159.949,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:44,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.296,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m39.7074540000s,009d13m32.8591560000s,161.963,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7074540000s,009d13m32.8591560000s,159.947,2.016,5036043.450,517647.542,159.947,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:45,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.294,0,0.00000000,270.00000000,0.000,0.000,0.000
11,,045d28m39.7074060000s,009d13m32.8591740000s,161.954,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7074060000s,009d13m32.8591740000s,159.938,2.016,5036043.448,517647.542,159.938,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:46,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.295,0,0.00000000,270.00000000,0.000,0.000,0.000
12,,045d28m39.7075560000s,009d13m32.8590780000s,161.954,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7075560000s,009d13m32.8590780000s,159.938,2.016,5036043.453,517647.540,159.938,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:47,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.295,0,0.00000000,270.00000000,0.000,0.000,0.000
